ZipCode,UBS_Open_Branch
1144,1
1608,1
1945,1
1960,1
2109,1
2116,1
2370,1
2481,1
2601,1
2903,1
3101,1
3301,1
3801,1
4101,1
4401,1
4841,1
5403,1
5701,1
6103,1
6320,1
6510,1
6830,1
6880,1
6901,1
7059,1
7078,1
7086,1
7090,1
7310,1
7652,1
7701,1
7932,1
8054,1
8225,1
8540,1
8736,1
10019,1
10020,1
10022,1
10166,1
10171,1
10604,1
11747,1
11753,1
11777,1
11968,1
12207,1
12801,1
13202,1
13601,1
14202,1
14221,1
14625,1
14701,1
15143,1
15219,1
15232,1
15317,1
16507,1
18940,1
19103,1
19428,1
19807,1
20005,1
20814,1
21031,1
21202,1
21401,1
22182,1
23219,1
23462,1
23510,1
24011,1
27130,1
27408,1
27517,1
27612,1
28211,1
28277,1
28403,1
28801,1
29492,1
29601,1
30004,1
30305,1
30326,1
30328,1
32082,1
32202,1
32605,1
32789,1
32801,1
32901,1
32963,1
33131,1
33134,1
33180,1
33301,1
33401,1
33410,1
33431,1
33602,1
33647,1
33701,1
33764,1
33880,1
33907,1
34108,1
34135,1
34236,1
34994,1
35209,1
35242,1
35801,1
36106,1
37067,1
37203,1
37238,1
37402,1
37601,1
37660,1
37830,1
37929,1
38119,1
38501,1
39211,1
40222,1
40502,1
42001,1
43017,1
43054,1
43220,1
44114,1
44116,1
44124,1
44145,1
44236,1
44321,1
44718,1
44870,1
45202,1
45236,1
45342,1
46240,1
46545,1
46801,1
47807,1
48009,1
48084,1
48126,1
48170,1
48334,1
48439,1
48441,1
49504,1
50266,1
52807,1
53045,1
53202,1
53717,1
55101,1
55391,1
55402,1
55437,1
56301,1
56308,1
57106,1
57701,1
58102,1
59101,1
59802,1
60010,1
60062,1
60181,1
60540,1
60606,1
63005,1
63105,1
64112,1
66211,1
67207,1
68154,1
68516,1
70163,1
70503,1
70806,1
72211,1
73142,1
74136,1
75024,1
75201,1
75701,1
76102,1
76712,1
76903,1
77002,1
77027,1
77056,1
77058,1
77380,1
77479,1
77706,1
77802,1
78216,1
78401,1
78503,1
78701,1
79701,1
80124,1
80202,1
80237,1
80302,1
80525,1
80634,1
80903,1
83340,1
83702,1
84060,1
84111,1
84403,1
85016,1
85251,1
85718,1
86336,1
87110,1
87501,1
89074,1
89135,1
89509,1
90067,1
90071,1
90212,1
90740,1
91101,1
91361,1
91436,1
92037,1
92101,1
92128,1
92130,1
92210,1
92373,1
92501,1
92618,1
92660,1
92821,1
93101,1
93311,1
93704,1
93923,1
94025,1
94104,1
94105,1
94304,1
94402,1
94558,1
94597,1
94941,1
95032,1
95113,1
95348,1
95661,1
95815,1
97035,1
97205,1
97504,1
97702,1
98004,1
98104,1
98201,1
98225,1
98402,1
99201,1
