ZipCode,UBS_Branches,UBS_Open_Branch
1144,1,1
1608,1,1
1945,1,1
1960,1,1
2109,1,1
2116,1,1
2370,1,1
2481,1,1
2601,1,1
2903,1,1
3101,1,1
3301,1,1
3801,1,1
4101,1,1
4401,1,1
4841,1,1
5403,1,1
5701,1,1
6103,2,1
6320,1,1
6510,1,1
6830,1,1
6880,1,1
6901,3,1
7059,1,1
7078,1,1
7086,1,1
7090,1,1
7310,2,1
7652,1,1
7701,1,1
7932,1,1
8054,1,1
8225,1,1
8540,1,1
8736,1,1
10019,2,1
10020,1,1
10022,1,1
10166,1,1
10171,1,1
10604,1,1
11747,1,1
11753,1,1
11777,1,1
11968,1,1
12207,1,1
12801,1,1
13202,1,1
13601,1,1
14202,1,1
14221,1,1
14625,1,1
14701,1,1
15143,1,1
15219,1,1
15232,1,1
15317,1,1
16507,1,1
18940,1,1
19103,1,1
19428,1,1
19807,1,1
20005,1,1
20814,1,1
21031,1,1
21202,1,1
21401,1,1
22182,1,1
23219,1,1
23462,1,1
23510,1,1
24011,1,1
27130,1,1
27408,1,1
27517,1,1
27612,1,1
28211,1,1
28277,1,1
28403,1,1
28801,1,1
29492,1,1
29601,1,1
30004,1,1
30305,1,1
30326,1,1
30328,1,1
32082,1,1
32202,1,1
32605,1,1
32789,1,1
32801,1,1
32901,1,1
32963,1,1
33131,2,1
33134,1,1
33180,1,1
33301,1,1
33401,1,1
33410,1,1
33431,1,1
33602,1,1
33647,1,1
33701,1,1
33764,1,1
33880,1,1
33907,1,1
34108,1,1
34135,1,1
34236,1,1
34994,1,1
35209,1,1
35242,1,1
35801,1,1
36106,1,1
37067,1,1
37203,1,1
37238,1,1
37402,1,1
37601,1,1
37660,1,1
37830,1,1
37929,1,1
38119,1,1
38501,1,1
39211,1,1
40222,1,1
40502,1,1
42001,1,1
43017,1,1
43054,1,1
43220,1,1
44114,1,1
44116,1,1
44124,1,1
44145,1,1
44236,1,1
44321,1,1
44718,1,1
44870,1,1
45202,1,1
45236,1,1
45342,1,1
46240,1,1
46545,1,1
46801,1,1
47807,1,1
48009,1,1
48084,1,1
48126,1,1
48170,1,1
48334,1,1
48439,1,1
48441,1,1
49504,1,1
50266,1,1
52807,1,1
53045,1,1
53202,1,1
53717,1,1
55101,1,1
55391,1,1
55402,1,1
55437,1,1
56301,1,1
56308,1,1
57106,1,1
57701,1,1
58102,1,1
59101,1,1
59802,1,1
60010,1,1
60062,1,1
60181,1,1
60540,1,1
60606,1,1
63005,1,1
63105,1,1
64112,1,1
66211,1,1
67207,1,1
68154,1,1
68516,1,1
70163,1,1
70503,1,1
70806,1,1
72211,1,1
73142,1,1
74136,1,1
75024,1,1
75201,2,1
75701,1,1
76102,1,1
76712,1,1
76903,1,1
77002,2,1
77027,1,1
77056,2,1
77058,1,1
77380,1,1
77479,1,1
77706,1,1
77802,1,1
78216,1,1
78401,1,1
78503,1,1
78701,1,1
79701,1,1
80124,1,1
80202,1,1
80237,1,1
80302,1,1
80525,1,1
80634,1,1
80903,1,1
83340,1,1
83702,1,1
84060,1,1
84111,1,1
84403,1,1
85016,1,1
85251,1,1
85718,1,1
86336,1,1
87110,1,1
87501,1,1
89074,1,1
89135,1,1
89509,1,1
90067,3,1
90071,1,1
90212,1,1
90740,1,1
91101,1,1
91361,1,1
91436,1,1
92037,1,1
92101,1,1
92128,1,1
92130,2,1
92210,1,1
92373,1,1
92501,1,1
92618,1,1
92660,1,1
92821,1,1
93101,1,1
93311,1,1
93704,1,1
93923,1,1
94025,1,1
94104,1,1
94105,1,1
94304,1,1
94402,1,1
94558,1,1
94597,1,1
94941,1,1
95032,1,1
95113,1,1
95348,1,1
95661,1,1
95815,1,1
97035,1,1
97205,1,1
97504,1,1
97702,1,1
98004,1,1
98104,1,1
98201,1,1
98225,1,1
98402,1,1
99201,1,1
